,note,category_idx,category_name,season
0,absinthe,11,beverages,"[0, 1, 2, 3]"
1,acacia,3,flowers,"[0, 1, 2, 3]"
2,acai berry,2,fruits_vegetables_and_nuts,"[0, 2]"
3,acerola,2,fruits_vegetables_and_nuts,"[0, 2]"
4,acerola blossom,3,flowers,"[0, 1, 2, 3]"
5,acetyl furan,7,sweets_and_gourmand_smells,[3]
6,agarwood (oud),8,woods_and_mosses,"[2, 3]"
7,agave,5,greens_herbs_and_fougeres,"[1, 2]"
8,agave nectar,7,sweets_and_gourmand_smells,[3]
9,aglaia,3,flowers,"[0, 1, 2, 3]"
10,akigalawood,8,woods_and_mosses,"[2, 3]"
11,aldehydes,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
12,alder,8,woods_and_mosses,"[2, 3]"
13,algae,5,greens_herbs_and_fougeres,"[1, 2]"
14,allspice,6,spices,"[2, 3]"
15,almond,2,fruits_vegetables_and_nuts,"[0, 2]"
16,almond blossom,3,flowers,"[0, 1, 2, 3]"
17,almond tree,8,woods_and_mosses,"[2, 3]"
18,aloe vera,5,greens_herbs_and_fougeres,"[1, 2]"
19,aluminum,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
20,alumroot,3,flowers,"[0, 1, 2, 3]"
21,alyssum,3,flowers,"[0, 1, 2, 3]"
22,amaranth,8,woods_and_mosses,"[2, 3]"
23,amaretto,11,beverages,"[0, 1, 2, 3]"
24,amarillys,3,flowers,"[0, 1, 2, 3]"
25,amber,10,musk_amber_animalic_smells,"[2, 3]"
26,amber xtreme,10,musk_amber_animalic_smells,"[2, 3]"
27,ambergris,10,musk_amber_animalic_smells,"[2, 3]"
28,ambertonic (iff),10,musk_amber_animalic_smells,"[2, 3]"
29,amberwood,9,resins_and_balsams,"[2, 3]"
30,ambrarome,10,musk_amber_animalic_smells,"[2, 3]"
31,ambretone,10,musk_amber_animalic_smells,"[2, 3]"
32,ambrette (musk mallow),10,musk_amber_animalic_smells,"[2, 3]"
33,ambrettolide,10,musk_amber_animalic_smells,"[2, 3]"
34,ambrocenide (symrise),10,musk_amber_animalic_smells,"[2, 3]"
35,ambroxan,10,musk_amber_animalic_smells,"[2, 3]"
36,ammophila (beach grass),5,greens_herbs_and_fougeres,"[1, 2]"
37,amyl salicylate,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
38,amyris,8,woods_and_mosses,"[2, 3]"
39,anemone,3,flowers,"[0, 1, 2, 3]"
40,angel's trumpet,3,flowers,"[0, 1, 2, 3]"
41,angelica,5,greens_herbs_and_fougeres,"[1, 2]"
42,animal notes,10,musk_amber_animalic_smells,"[2, 3]"
43,anise,6,spices,"[2, 3]"
44,apple,2,fruits_vegetables_and_nuts,"[0, 2]"
45,apple blossom,3,flowers,"[0, 1, 2, 3]"
46,apple juice,2,fruits_vegetables_and_nuts,"[0, 2]"
47,apple mint,5,greens_herbs_and_fougeres,"[1, 2]"
48,apple pulp,2,fruits_vegetables_and_nuts,"[0, 2]"
49,apple tree,8,woods_and_mosses,"[2, 3]"
50,apricot,2,fruits_vegetables_and_nuts,"[0, 2]"
51,apricot blossom,3,flowers,"[0, 1, 2, 3]"
52,aquozone,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
53,araucaria,8,woods_and_mosses,"[2, 3]"
54,"arbutus (madrona, bearberry tree)",8,woods_and_mosses,"[2, 3]"
55,arctic bramble,2,fruits_vegetables_and_nuts,"[0, 2]"
56,argan,2,fruits_vegetables_and_nuts,"[0, 2]"
57,argan tree,8,woods_and_mosses,"[2, 3]"
58,arnica,5,greens_herbs_and_fougeres,"[1, 2]"
59,artemisia,5,greens_herbs_and_fougeres,"[1, 2]"
60,arum lily,4,white_flowers,"[0, 2, 3]"
61,asafoetida,6,spices,"[2, 3]"
62,ash,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
63,ashoka flower,3,flowers,"[0, 1, 2, 3]"
64,asparagus,5,greens_herbs_and_fougeres,"[1, 2]"
65,aspen,8,woods_and_mosses,"[2, 3]"
66,asphalt,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
67,aspic,10,musk_amber_animalic_smells,"[2, 3]"
68,avocado,5,greens_herbs_and_fougeres,"[1, 2]"
69,azolla (water fern),5,greens_herbs_and_fougeres,"[1, 2]"
70,bacon,10,musk_amber_animalic_smells,"[2, 3]"
71,baileys irish cream,11,beverages,"[0, 1, 2, 3]"
72,balsamic vinegar,9,resins_and_balsams,"[2, 3]"
73,bamboo,8,woods_and_mosses,"[2, 3]"
74,banana,2,fruits_vegetables_and_nuts,"[0, 2]"
75,banana flower,3,flowers,"[0, 1, 2, 3]"
76,banana leaf,5,greens_herbs_and_fougeres,"[1, 2]"
77,baobab,8,woods_and_mosses,"[2, 3]"
78,barberry,3,flowers,"[0, 1, 2, 3]"
79,bark,8,woods_and_mosses,"[2, 3]"
80,barley,5,greens_herbs_and_fougeres,"[1, 2]"
81,basil,5,greens_herbs_and_fougeres,"[1, 2]"
82,bay essence,5,greens_herbs_and_fougeres,"[1, 2]"
83,bay leaf,6,spices,"[2, 3]"
84,bbq,10,musk_amber_animalic_smells,"[2, 3]"
85,bearberry,2,fruits_vegetables_and_nuts,"[0, 2]"
86,beech,8,woods_and_mosses,"[2, 3]"
87,beerale,11,beverages,"[0, 1, 2, 3]"
88,beeswax,10,musk_amber_animalic_smells,"[2, 3]"
89,beetroot,2,fruits_vegetables_and_nuts,"[0, 2]"
